354#$#FIDO,Configuration Management Database (CMDB),NNTP,
362#$#Computer Aided Translation (CAT),FIDO,New Age,
365#$#Mainframes,Enlightenment,FIDO,
368#$#FIDO,Humanitarianism,NNTP,
372#$#Binary editors,Digital preservation,FIDO,
374#$#Binary editors,SCCS,Mainframes,
401#$#FIDO,Binary editors,Mainframes,
404#$#NIS,Insurance,Unix Talk,
406#$#FIDO,NNTP,CORBA,
420#$#SCCS,NIS,Binary editors,
421#$#OPAC,Fonts,DocBook,
422#$#SCCS,Digital preservation,Binary editors,
424#$#FIDO,CORBA,OPAC,
425#$#Enlightenment,FIDO,Video Conferencing,
430#$#Enlightenment,Emacs,Computer Aided Translation (CAT),
431#$#NNTP,Computer Aided Translation (CAT),Medical Physics,
437#$#Enlightenment,Vi/Vim,Assemblers,
438#$#Enlightenment,Assemblers,Configuration Management Database (CMDB),
439#$#Enlightenment,NNTP,Mainframes,
440#$#Humanitarianism,Computer Aided Translation (CAT),FIDO,
444#$#Mainframes,Configuration Management Database (CMDB),Medical Physics,
448#$#Enlightenment,Assemblers,Configuration Management Database (CMDB),
453#$#FIDO,Computer Aided Translation (CAT),Direct Connect,
454#$#NNTP,SCCS,Enlightenment,
456#$#Mainframes,NIS,Enlightenment,
457#$#Enlightenment,Fonts,Insurance,
463#$#Humanitarianism,FIDO,Enlightenment,
464#$#Enlightenment,NIS,NNTP,
466#$#Medical Physics,Humanitarianism,Collection management,
470#$#SCCS,Binary editors,NIS,
479#$#FIDO,Mainframes,Digital preservation,
480#$#Vi/Vim,Enlightenment,FIDO,
486#$#Configuration Management Database (CMDB),FIDO,Medical Physics,
490#$#Enlightenment,Assemblers,Voting,
496#$#FIDO,Vi/Vim,Enlightenment,
500#$#Digital preservation,Insurance,MARC and Book/Library Metadata,
501#$#Enlightenment,Mainframes,Medical Physics,
504#$#FIDO,Mainframes,Digital preservation,
505#$#SCCS,FIDO,Computer Aided Translation (CAT),
507#$#SCCS,Insurance,Subversion,
512#$#Computer Aided Translation (CAT),FIDO,OPAC,
516#$#FIDO,Enlightenment,Humanitarianism,
521#$#NNTP,Computer Aided Translation (CAT),FIDO,
530#$#NNTP,Insurance,Collection management,
536#$#Enlightenment,FIDO,Humanitarianism,
546#$#FIDO,Enlightenment,Humanitarianism,
550#$#FIDO,Humanitarianism,NNTP,
554#$#SCCS,Humanitarianism,NIS,
563#$#FIDO,Enlightenment,Configuration Management Database (CMDB),
565#$#Enlightenment,Configuration Management Database (CMDB),FIDO,
567#$#Enlightenment,Insurance,Quantum Computing,
569#$#Mainframes,Vi/Vim,Napster,
572#$#SCCS,Mainframes,Binary editors,
574#$#NNTP,Computer Aided Translation (CAT),Medical Physics,
578#$#Binary editors,Collection management,CD Audio,
579#$#SCCS,Enlightenment,Digital preservation,
582#$#SCCS,Medical Physics,Enlightenment,
588#$#SCCS,FIDO,Voting,
590#$#Enlightenment,FIDO,NNTP,
591#$#Mainframes,CORBA,Emacs,
596#$#Enlightenment,OPAC,Mainframes,
597#$#Enlightenment,FIDO,Social Bookmarking,
603#$#NNTP,Mainframes,Medical Physics,
608#$#NNTP,Collection management,Digital preservation,
609#$#Enlightenment,NIS,Digital preservation,
613#$#NNTP,Mainframes,Assemblers,
616#$#Binary editors,FIDO,Digital preservation,
617#$#NIS,Humanitarianism,Mainframes,
618#$#SCCS,Computer Aided Translation (CAT),Napster,
620#$#Configuration Management Database (CMDB),Medical Physics,Enlightenment,
621#$#SCCS,Medical Physics,NIS,
624#$#Enlightenment,Medical Physics,Configuration Management Database (CMDB),
625#$#SCCS,Enlightenment,Assemblers,
627#$#FIDO,SCCS,Humanitarianism,
631#$#Computer Aided Translation (CAT),Quantum Computing,Medical Physics,
636#$#Enlightenment,FIDO,Binary editors,
637#$#Ticketing Systems,SCCS,Computer Aided Translation (CAT),
642#$#Enlightenment,SCCS,Humanitarianism,
655#$#SCCS,Binary editors,NIS,
657#$#Enlightenment,FIDO,Configuration Management Database (CMDB),
658#$#Humanitarianism,SCCS,FIDO,
659#$#Enlightenment,FIDO,RCS,
660#$#Assemblers,Collection management,Humanitarianism,
661#$#Enlightenment,NNTP,Digital preservation,
668#$#FIDO,Enlightenment,CORBA,
673#$#FIDO,Digital preservation,Enlightenment,
675#$#Enlightenment,Insurance,CD Playing,
677#$#Mainframes,FIDO,Digital preservation,
679#$#Mainframes,Digital preservation,Configuration Management Database (CMDB),
685#$#Enlightenment,NNTP,Medical Physics,
689#$#Enlightenment,Unattended,Anti-Spam,
691#$#Enlightenment,SCCS,Configuration Management Database (CMDB),
694#$#Enlightenment,Vi/Vim,Desktop Publishing,
695#$#NNTP,NIS,Computer Aided Translation (CAT),
704#$#FIDO,SCCS,Enlightenment,
705#$#Configuration Management Database (CMDB),Medical Physics,Computer Aided Translation (CAT),
707#$#FIDO,Digital preservation,Configuration Management Database (CMDB),
708#$#FIDO,Mainframes,Insurance,
709#$#FIDO,Unix Talk,MARC and Book/Library Metadata,
711#$#FIDO,Digital preservation,Mainframes,
717#$#Enlightenment,SCCS,NIS,
735#$#Insurance,Medical Physics,Collection management,
736#$#Enlightenment,NNTP,Assemblers,
737#$#FIDO,Vi/Vim,NNTP,
741#$#NNTP,Insurance,Mainframes,
747#$#Medical Physics,Insurance,Mainframes,
753#$#Assemblers,NNTP,SSH (Secure SHell),
757#$#NNTP,SCCS,Mainframes,
767#$#NNTP,Enlightenment,FIDO,
768#$#Medical Physics,Assemblers,Psychology,
770#$#Vi/Vim,CORBA,Mainframes,
775#$#Video Conferencing,DVD,Collection management,
777#$#SCCS,Mainframes,Insurance,
781#$#Computer Aided Translation (CAT),SCCS,NIS,
783#$#NIS,Enlightenment,NNTP,
786#$#Configuration Management Database (CMDB),Enlightenment,FIDO,
789#$#NNTP,NIS,FIDO,
790#$#SCCS,NIS,Enlightenment,
795#$#Enlightenment,FIDO,Insurance,
798#$#FIDO,NIS,Digital preservation,
800#$#OPAC,Humanitarianism,Mainframes,
802#$#SCCS,Billing,Insurance,
807#$#Digital preservation,Binary editors,FIDO,
810#$#Computer Aided Translation (CAT),Voting,Medical Physics,
811#$#Configuration Management Database (CMDB),Medical Physics,Humanitarianism,
817#$#Enlightenment,Configuration Management Database (CMDB),FIDO,
821#$#Configuration Management Database (CMDB),Medical Physics,NIS,
822#$#Digital preservation,Medical Physics,Mainframes,
824#$#Enlightenment,FIDO,Insurance,
827#$#Enlightenment,Mainframes,FIDO,
829#$#Computer Aided Translation (CAT),Configuration Management Database (CMDB),Medical Physics,
837#$#Enlightenment,FIDO,Binary editors,
840#$#FIDO,Digital preservation,Binary editors,
842#$#Modelling,SCCS,Medical Physics,
855#$#Digital preservation,Vi/Vim,FIDO,
860#$#Enlightenment,SCCS,Configuration Management Database (CMDB),
869#$#FIDO,NIS,Video Conferencing,
876#$#NNTP,FIDO,Direct Connect,
877#$#FIDO,Insurance,Digital preservation,
880#$#Enlightenment,Digital preservation,Insurance,
881#$#SCCS,NIS,Binary editors,
889#$#Binary editors,Digital preservation,Mainframes,
891#$#SCCS,NIS,Binary editors,
892#$#Enlightenment,NIS,SCCS,
894#$#Computer Aided Translation (CAT),New Age,Molecular Mechanics,
899#$#FIDO,SCCS,CORBA,
901#$#NNTP,SCCS,Enlightenment,
902#$#Enlightenment,Social Bookmarking,Web Conferencing,
904#$#Enlightenment,NNTP,FIDO,
914#$#Humanitarianism,FIDO,Medical Physics,
916#$#Humanitarianism,Computer Aided Translation (CAT),Quantum Computing,
918#$#SCCS,Finger,Unix Talk,
934#$#Humanitarianism,Insurance,Assemblers,
940#$#SCCS,Configuration Management Database (CMDB),Humanitarianism,
945#$#SCCS,Binary editors,FIDO,
946#$#Mainframes,Enlightenment,Digital preservation,
947#$#Enlightenment,Humanitarianism,Medical Physics,
949#$#SCCS,Binary editors,NIS,
951#$#FIDO,Digital preservation,Insurance,
964#$#Computer Aided Translation (CAT),Humanitarianism,Enlightenment,
970#$#SCCS,Binary editors,NIS,
971#$#Configuration Management Database (CMDB),Enlightenment,SCCS,
979#$#Cron and scheduling,FIDO,Enlightenment,
991#$#Enlightenment,Insurance,Computer Aided Translation (CAT),
992#$#Enlightenment,FIDO,OPAC,
995#$#FIDO,SCCS,NIS,
996#$#SCCS,FIDO,Insurance,
1008#$#Enlightenment,Molecular Mechanics,Politics,
1009#$#FIDO,Insurance,Mainframes,
1010#$#Enlightenment,FIDO,Medical Physics,
1012#$#Enlightenment,SCCS,Mainframes,
1013#$#Computer Aided Translation (CAT),Humanitarianism,History,
1016#$#Mainframes,Medical Physics,Desktop Publishing,
1018#$#FIDO,CORBA,Computer Aided Translation (CAT),
1029#$#Mainframes,Digital preservation,FIDO,
1032#$#NNTP,NIS,Mainframes,
1036#$#Direct Connect,FIDO,Binary editors,
1042#$#NNTP,FIDO,SCCS,
1044#$#Mainframes,FIDO,CORBA,
1052#$#FIDO,Social Bookmarking,Mainframes,
1062#$#Enlightenment,FIDO,NIS,
1065#$#FIDO,Humanitarianism,Enlightenment,
1066#$#FIDO,Humanitarianism,Digital preservation,
1080#$#Enlightenment,SCCS,NIS,
1083#$#Configuration Management Database (CMDB),Medical Physics,NIS,
1087#$#Enlightenment,NIS,NNTP,
1090#$#Enlightenment,Molecular Mechanics,Computer Aided Translation (CAT),
1096#$#Video Conferencing,FIDO,Social Bookmarking,
1098#$#Enlightenment,NNTP,NIS,
1105#$#CORBA,Mainframes,Assemblers,
1111#$#FIDO,SCCS,Social Bookmarking,
1115#$#Mainframes,SCCS,Medical Physics,
1118#$#Computer Aided Translation (CAT),Social Bookmarking,Configuration Management Database (CMDB),
1120#$#Mainframes,FIDO,Enlightenment,
1122#$#Enlightenment,Humanitarianism,SCCS,
1128#$#NIS,Vi/Vim,OPAC,
1138#$#Assemblers,Digital preservation,Insurance,
1141#$#NNTP,NIS,Mainframes,
1142#$#FIDO,Configuration Management Database (CMDB),Gnutella,
1144#$#SCCS,Assemblers,Video Conferencing,
1147#$#SCCS,NIS,Binary editors,
1148#$#SCCS,NIS,Binary editors,
1159#$#NIS,SCCS,Binary editors,
1162#$#Computer Aided Translation (CAT),New Age,Quantum Computing,
1169#$#Mainframes,Computer Aided Translation (CAT),Enlightenment,
1172#$#SCCS,Enlightenment,Humanitarianism,
1182#$#Enlightenment,FIDO,Assemblers,
1183#$#Ticketing Systems,Direct Connect,Vector-Based,
1184#$#Enlightenment,Insurance,NNTP,
1185#$#FIDO,Humanitarianism,Enlightenment,
1187#$#Enlightenment,Binary editors,Digital preservation,
1199#$#Digital preservation,FIDO,Binary editors,
1201#$#Enlightenment,Direct Connect,Binary editors,
1208#$#Vi/Vim,Enlightenment,Computer Aided Translation (CAT),
1209#$#FIDO,Vi/Vim,Gnutella,
1220#$#NNTP,FIDO,Humanitarianism,
1222#$#NNTP,Enlightenment,SCCS,
1227#$#Computer Aided Translation (CAT),OPAC,Assemblers,
1229#$#Digital preservation,Comma-separated values (CSV),SSH (Secure SHell),
1233#$#NIS,Insurance,Collection management,
1236#$#Humanitarianism,Computer Aided Translation (CAT),New Age,
1237#$#Mainframes,Digital preservation,SCCS,
1241#$#SCCS,NIS,Mainframes,
1242#$#SCCS,Medical Physics,Configuration Management Database (CMDB),
1251#$#Humanitarianism,New Age,Name Service (DNS),
1254#$#SCCS,NIS,Mainframes,
1262#$#Enlightenment,NIS,FIDO,
1270#$#Mainframes,Digital preservation,Configuration Management Database (CMDB),
1272#$#NIS,NNTP,FIDO,
1276#$#NNTP,Enlightenment,FIDO,
1277#$#SCCS,Humanitarianism,Mainframes,
1298#$#SCCS,NIS,Enlightenment,
1300#$#Enlightenment,FIDO,NIS,
1317#$#Enlightenment,FIDO,NIS,
1323#$#Computer Aided Translation (CAT),Quantum Computing,Medical Physics,
1326#$#NNTP,Medical Physics,Collection management,
1328#$#FIDO,Insurance,Business Service Management,
1333#$#Enlightenment,Mainframes,Humanitarianism,
1335#$#FIDO,SCCS,Vi/Vim,
1338#$#FIDO,Humanitarianism,Enlightenment,
1343#$#Video Conferencing,Digital preservation,Insurance,
1347#$#FIDO,NIS,Humanitarianism,
1348#$#Vi/Vim,Binary editors,FIDO,
1351#$#NIS,SCCS,Enlightenment,
1356#$#Enlightenment,FIDO,Computer Aided Translation (CAT),
1358#$#NNTP,Voting,Digital preservation,
1359#$#Vi/Vim,Medical Physics,Configuration Management Database (CMDB),
1360#$#Enlightenment,Insurance,FIDO,
1364#$#Enlightenment,FIDO,Configuration Management Database (CMDB),
1375#$#Medical Physics,Flight simulator,Assemblers,
1377#$#Enlightenment,SCCS,Assemblers,
1379#$#NNTP,NIS,FIDO,
1381#$#NNTP,Enlightenment,NIS,
1384#$#SCCS,Mainframes,Investment,
1390#$#Enlightenment,NNTP,SCCS,
1394#$#SCCS,Binary editors,NIS,
1395#$#Mainframes,SCCS,NNTP,
1398#$#Voting,Init,Video Conferencing,
1401#$#Enlightenment,Assemblers,Medical Physics,
1402#$#Enlightenment,FIDO,CORBA,
1406#$#NNTP,FIDO,Configuration Management Database (CMDB),
1408#$#NNTP,Medical Physics,Configuration Management Database (CMDB),
1409#$#Computer Aided Translation (CAT),New Age,Mainframes,
1410#$#Enlightenment,Assemblers,Mainframes,
1412#$#Enlightenment,Digital preservation,Humanitarianism,
1415#$#Enlightenment,Medical Physics,Mainframes,
1418#$#NIS,Enlightenment,Assemblers,
1424#$#Vi/Vim,Computer Aided Translation (CAT),NIS,
1427#$#Medical Physics,Insurance,Quantum Computing,
1434#$#SCCS,Binary editors,NNTP,
1435#$#FIDO,SCCS,Insurance,
1445#$#Computer Aided Translation (CAT),Enlightenment,FIDO,
1448#$#Enlightenment,NNTP,Digital preservation,
1451#$#NIS,Computer Aided Translation (CAT),Enlightenment,
1457#$#SCCS,Mainframes,NIS,
1459#$#Medical Physics,SCCS,Humanitarianism,
1463#$#SCCS,Enlightenment,Assemblers,
1464#$#Configuration Management Database (CMDB),Medical Physics,Insurance,
1467#$#SCCS,Computer Aided Translation (CAT),Quantum Computing,
1469#$#FIDO,Enlightenment,Social Bookmarking,
1473#$#Enlightenment,Voting,Medical Physics,
1474#$#SCCS,Binary editors,Enlightenment,
1475#$#Napster,OPAC,Mainframes,
1476#$#SCCS,NIS,Binary editors,
1477#$#Video Conferencing,Quantum Computing,Web Conferencing,
1478#$#Enlightenment,Vi/Vim,Molecular Mechanics,
1479#$#Mainframes,FIDO,Digital preservation,
1480#$#NNTP,NIS,Binary editors,
1483#$#Enlightenment,FIDO,Social Bookmarking,
1484#$#SCCS,FIDO,NIS,
1487#$#Enlightenment,Mainframes,Genealogy,
1489#$#Humanitarianism,Medical Physics,New Age,
1494#$#Configuration Management Database (CMDB),Enlightenment,FIDO,
1495#$#Enlightenment,NIS,NNTP,
1500#$#Mainframes,SCCS,NIS,
1503#$#Enlightenment,Computer Aided Translation (CAT),Mainframes,
1504#$#NNTP,Insurance,Digital preservation,
1506#$#SCCS,Social Bookmarking,Configuration Management Database (CMDB),
1514#$#Enlightenment,FIDO,Vi/Vim,
1515#$#FIDO,Enlightenment,CORBA,
1517#$#Vi/Vim,FIDO,OPAC,
1523#$#Enlightenment,FIDO,Computer Aided Translation (CAT),
1527#$#Humanitarianism,Enlightenment,CORBA,
1529#$#SCCS,NNTP,NIS,
1533#$#Computer Aided Translation (CAT),Medical Physics,NIS,
1537#$#Web Conferencing,Fax,Medical Physics,
1556#$#NIS,Enlightenment,Vi/Vim,
1568#$#Enlightenment,Insurance,Medical Physics,
1569#$#SCCS,Mainframes,NNTP,
1570#$#Collection management,Configuration Management Database (CMDB),Napster,
1573#$#Humanitarianism,NNTP,FIDO,
1574#$#SCCS,Insurance,Finger,
1579#$#Enlightenment,FIDO,Humanitarianism,
1588#$#FIDO,Social Bookmarking,Video Conferencing,
1593#$#Mainframes,FIDO,Digital preservation,
1597#$#Humanitarianism,CORBA,Medical Physics,
1603#$#Enlightenment,Medical Physics,Configuration Management Database (CMDB),
1605#$#Enlightenment,NIS,Mainframes,
1613#$#NIS,NNTP,Computer Aided Translation (CAT),
1614#$#Digital preservation,Computer Aided Translation (CAT),Binary editors,
1621#$#Humanitarianism,FIDO,SCCS,
1629#$#Mainframes,Molecular Mechanics,Page Counters,
1631#$#SCCS,NNTP,FIDO,
1634#$#Humanitarianism,FIDO,CORBA,
1636#$#FIDO,Fonts,SCCS,
1639#$#NIS,NNTP,Video Conferencing,
1640#$#Enlightenment,FIDO,Digital preservation,
1642#$#Computer Aided Translation (CAT),Configuration Management Database (CMDB),Voting,
1646#$#Enlightenment,Binary editors,SCCS,
1647#$#Enlightenment,Humanitarianism,Insurance,
1655#$#NNTP,NIS,Digital preservation,
1656#$#NIS,NNTP,FIDO,
1658#$#NNTP,Enlightenment,FIDO,
1661#$#Configuration Management Database (CMDB),SCCS,Subversion,
1667#$#Binary editors,Humanitarianism,Medical Physics,
1669#$#Enlightenment,FIDO,Digital preservation,
1672#$#Quantum Computing,Mainframes,Configuration Management Database (CMDB),
1673#$#Mainframes,Computer Aided Translation (CAT),New Age,
1676#$#Enlightenment,FIDO,NIS,
1678#$#Enlightenment,NNTP,Assemblers,
1680#$#Enlightenment,Molecular Mechanics,History,
1686#$#SCCS,FIDO,Binary editors,
1687#$#NNTP,Computer Aided Translation (CAT),Napster,
1688#$#Humanitarianism,Enlightenment,Quantum Computing,
1693#$#Enlightenment,Unattended,Unix Talk,
1696#$#Enlightenment,Configuration Management Database (CMDB),Assemblers,
1697#$#Vi/Vim,Computer Aided Translation (CAT),Humanitarianism,
1706#$#Enlightenment,Digital preservation,Mainframes,
1709#$#Enlightenment,Humanitarianism,FIDO,
1711#$#NNTP,Humanitarianism,Molecular Mechanics,
1719#$#Enlightenment,SCCS,Genealogy,
1725#$#Enlightenment,Assemblers,FIDO,
1737#$#SCCS,NIS,Enlightenment,
1738#$#FIDO,Configuration Management Database (CMDB),Medical Physics,
1747#$#Digital preservation,Mainframes,Configuration Management Database (CMDB),
1751#$#Enlightenment,FIDO,Social Bookmarking,
1752#$#SCCS,FIDO,Enlightenment,
1753#$#Enlightenment,FIDO,Password manager,
1758#$#Enlightenment,Humanitarianism,Assemblers,
1760#$#FIDO,Humanitarianism,Digital preservation,
1768#$#Configuration Management Database (CMDB),SCCS,Medical Physics,
1771#$#NIS,Medical Physics,Vi/Vim,
1772#$#FIDO,Insurance,Direct Connect,
1776#$#Insurance,Medical Physics,Collection management,
1778#$#NIS,Computer Aided Translation (CAT),Video Conferencing,
1783#$#Insurance,Medical Physics,Cron and scheduling,
1787#$#Vi/Vim,Enlightenment,OPAC,
1788#$#Enlightenment,Configuration Management Database (CMDB),Computer Aided Translation (CAT),
1789#$#Enlightenment,NIS,FIDO,
1795#$#NIS,Napster,Mainframes,
1803#$#Assemblers,Enlightenment,Configuration Management Database (CMDB),
1805#$#Enlightenment,Binary editors,Medical Physics,
1813#$#SCCS,NIS,Binary editors,
1816#$#Vi/Vim,Computer Aided Translation (CAT),Insurance,
1820#$#FIDO,Enlightenment,Computer Aided Translation (CAT),
1823#$#FIDO,Enlightenment,Humanitarianism,
1825#$#Vi/Vim,FIDO,Voting,
1829#$#Medical Physics,Video Conferencing,Configuration Management Database (CMDB),
1836#$#Enlightenment,SCCS,FIDO,
1839#$#Mainframes,SCCS,Configuration Management Database (CMDB),
1842#$#Enlightenment,FIDO,Social Bookmarking,
1845#$#Enlightenment,FIDO,NIS,
1846#$#NIS,FIDO,Direct Connect,
1851#$#FIDO,SCCS,NNTP,
1858#$#Insurance,SCCS,Mainframes,
1859#$#Digital preservation,FIDO,Vi/Vim,
1865#$#Computer Aided Translation (CAT),NNTP,Medical Physics,
1867#$#FIDO,Enlightenment,Configuration Management Database (CMDB),
1871#$#Enlightenment,SCCS,Mainframes,
1875#$#Enlightenment,Mainframes,Insurance,
1879#$#Mainframes,Computer Aided Translation (CAT),Medical Physics,
1884#$#Enlightenment,FIDO,Humanitarianism,
1885#$#NNTP,SCCS,Insurance,
1894#$#SCCS,Unattended,Enlightenment,
1896#$#SCCS,Video Conferencing,Insurance,
1903#$#Computer Aided Translation (CAT),Medical Physics,Psychology,
1904#$#Enlightenment,SCCS,Binary editors,
1913#$#FIDO,Video Conferencing,Gnutella,
1915#$#Enlightenment,Assemblers,Configuration Management Database (CMDB),
1917#$#Configuration Management Database (CMDB),Medical Physics,Enlightenment,
1918#$#SCCS,NIS,Binary editors,
1931#$#Configuration Management Database (CMDB),SCCS,Vi/Vim,
1936#$#Enlightenment,SCCS,Video Conferencing,
1938#$#SCCS,Configuration Management Database (CMDB),Subversion,
1939#$#FIDO,Social Bookmarking,NNTP,
1940#$#FIDO,OPAC,Social Bookmarking,
1943#$#Enlightenment,NNTP,FIDO,
1945#$#Flight simulator,Mainframes,Configuration Management Database (CMDB),
1953#$#SCCS,Binary editors,NIS,
1956#$#Enlightenment,Assemblers,Configuration Management Database (CMDB),
1966#$#Social Bookmarking,Special Effects,Quantum Computing,
1972#$#NNTP,Insurance,Emacs,
1973#$#Enlightenment,Medical Physics,Computer Aided Translation (CAT),
1979#$#Mainframes,Vi/Vim,FIDO,
1980#$#Enlightenment,SCCS,Assemblers,
1984#$#Enlightenment,FIDO,SCCS,
1994#$#Enlightenment,Computer Aided Translation (CAT),NNTP,
1998#$#Enlightenment,Binary editors,FIDO,
2000#$#Enlightenment,Vi/Vim,Collection management,
2004#$#Medical Physics,Fonts,Assemblers,
2013#$#FIDO,Mainframes,RCS,
2023#$#CORBA,NNTP,NIS,
2024#$#Enlightenment,Binary editors,SCCS,
2026#$#Mainframes,Configuration Management Database (CMDB),CD Audio,
2037#$#Enlightenment,Assemblers,Configuration Management Database (CMDB),
2038#$#SCCS,NIS,Enlightenment,
2045#$#FIDO,NNTP,Enlightenment,
2048#$#Mainframes,FIDO,Digital preservation,
2067#$#Enlightenment,Configuration Management Database (CMDB),SCCS,
2068#$#Digital preservation,Insurance,Assemblers,
2079#$#SCCS,FIDO,RCS,
2081#$#FIDO,Digital preservation,Binary editors,
2082#$#Configuration Management Database (CMDB),Medical Physics,Computer Aided Translation (CAT),
2083#$#SCCS,Binary editors,NIS,
2092#$#Mainframes,Binary editors,FIDO,
2095#$#NNTP,FIDO,CORBA,
2097#$#SCCS,Enlightenment,Source code review,
2104#$#SCCS,Binary editors,NIS,
2111#$#FIDO,Humanitarianism,Video Conferencing,
2115#$#Unix Talk,SCCS,NNTP,
2118#$#NIS,Computer Aided Translation (CAT),Enlightenment,
2125#$#Enlightenment,NNTP,Unattended,
2138#$#Mainframes,FIDO,Social Bookmarking,
2139#$#Mainframes,Binary editors,MARC and Book/Library Metadata,
2141#$#FIDO,Enlightenment,Assemblers,
2143#$#Enlightenment,Insurance,Medical Physics,
2145#$#NNTP,FIDO,Configuration Management Database (CMDB),
2151#$#FIDO,CORBA,Mainframes,
2152#$#Mainframes,Binary editors,SCCS,
2156#$#Vi/Vim,Digital preservation,Humanitarianism,
2157#$#BitTorrent,Unix Talk,Mainframes,
2158#$#FIDO,Enlightenment,Video Conferencing,
2160#$#Enlightenment,Medical Physics,SCCS,
2162#$#SCCS,NIS,Binary editors,
2164#$#Enlightenment,Computer Aided Translation (CAT),Unattended,
2166#$#FIDO,Enlightenment,Computer Aided Translation (CAT),
2173#$#SCCS,Link Checking,Computer Aided Translation (CAT),
2174#$#Binary editors,SCCS,Digital preservation,
2187#$#Medical Physics,Configuration Management Database (CMDB),Insurance,
2190#$#Enlightenment,NNTP,Insurance,
